nominal;data;curs;cdx
1;27.03.2024;25,2075;Дирхам ОАЭ
1;26.03.2024;25,2624;Дирхам ОАЭ
1;23.03.2024;25,2176;Дирхам ОАЭ
1;22.03.2024;25,0374;Дирхам ОАЭ
1;21.03.2024;25,2379;Дирхам ОАЭ
1;20.03.2024;25,1121;Дирхам ОАЭ
1;19.03.2024;25,0464;Дирхам ОАЭ
1;16.03.2024;25,0157;Дирхам ОАЭ
1;15.03.2024;24,9519;Дирхам ОАЭ
1;14.03.2024;24,9271;Дирхам ОАЭ
1;13.03.2024;24,7466;Дирхам ОАЭ
1;12.03.2024;24,6767;Дирхам ОАЭ
1;08.03.2024;24,7105;Дирхам ОАЭ
1;07.03.2024;24,5994;Дирхам ОАЭ
1;06.03.2024;24,8224;Дирхам ОАЭ
1;05.03.2024;24,8750;Дирхам ОАЭ
1;02.03.2024;24,8696;Дирхам ОАЭ
1;01.03.2024;24,7358;Дирхам ОАЭ
1;29.02.2024;25,0154;Дирхам ОАЭ
1;28.02.2024;25,0626;Дирхам ОАЭ
1;27.02.2024;25,2232;Дирхам ОАЭ
1;23.02.2024;25,2558;Дирхам ОАЭ
1;22.02.2024;25,1705;Дирхам ОАЭ
1;21.02.2024;25,1461;Дирхам ОАЭ
1;20.02.2024;25,1628;Дирхам ОАЭ
1;17.02.2024;25,2006;Дирхам ОАЭ
1;16.02.2024;25,0030;Дирхам ОАЭ
1;15.02.2024;24,8963;Дирхам ОАЭ
1;14.02.2024;24,8348;Дирхам ОАЭ
1;13.02.2024;24,7994;Дирхам ОАЭ
1;10.02.2024;24,7488;Дирхам ОАЭ
1;09.02.2024;24,8485;Дирхам ОАЭ
1;08.02.2024;24,8200;Дирхам ОАЭ
1;07.02.2024;24,6928;Дирхам ОАЭ
1;06.02.2024;24,8450;Дирхам ОАЭ
1;03.02.2024;24,6869;Дирхам ОАЭ
1;02.02.2024;24,5691;Дирхам ОАЭ
1;01.02.2024;24,4160;Дирхам ОАЭ
1;31.01.2024;24,3128;Дирхам ОАЭ
1;30.01.2024;24,4000;Дирхам ОАЭ
1;27.01.2024;24,3746;Дирхам ОАЭ
1;26.01.2024;24,1406;Дирхам ОАЭ
1;25.01.2024;24,0389;Дирхам ОАЭ
1;24.01.2024;23,9401;Дирхам ОАЭ
1;23.01.2024;23,9544;Дирхам ОАЭ
1;20.01.2024;24,1224;Дирхам ОАЭ
1;19.01.2024;24,1419;Дирхам ОАЭ
1;18.01.2024;24,0583;Дирхам ОАЭ
1;17.01.2024;23,8654;Дирхам ОАЭ
1;16.01.2024;23,8740;Дирхам ОАЭ
1;13.01.2024;23,9979;Дирхам ОАЭ
1;12.01.2024;24,1748;Дирхам ОАЭ
1;11.01.2024;24,3414;Дирхам ОАЭ
1;10.01.2024;24,6165;Дирхам ОАЭ
1;30.12.2023;24,4216;Дирхам ОАЭ
1;29.12.2023;24,5893;Дирхам ОАЭ
1;28.12.2023;24,9708;Дирхам ОАЭ
1;27.12.2023;24,9712;Дирхам ОАЭ
1;26.12.2023;25,0426;Дирхам ОАЭ
1;23.12.2023;25,0344;Дирхам ОАЭ
1;22.12.2023;24,9711;Дирхам ОАЭ
1;21.12.2023;24,6169;Дирхам ОАЭ
1;20.12.2023;24,5302;Дирхам ОАЭ
1;19.12.2023;24,6198;Дирхам ОАЭ
1;16.12.2023;24,4239;Дирхам ОАЭ
1;15.12.2023;24,4177;Дирхам ОАЭ
1;14.12.2023;24,4772;Дирхам ОАЭ
1;13.12.2023;24,5652;Дирхам ОАЭ
1;12.12.2023;24,7746;Дирхам ОАЭ
1;09.12.2023;24,9531;Дирхам ОАЭ
1;08.12.2023;25,2050;Дирхам ОАЭ
1;07.12.2023;25,2642;Дирхам ОАЭ
1;06.12.2023;24,9373;Дирхам ОАЭ
1;05.12.2023;24,6897;Дирхам ОАЭ
1;02.12.2023;24,4416;Дирхам ОАЭ
1;01.12.2023;24,1203;Дирхам ОАЭ
1;30.11.2023;24,2026;Дирхам ОАЭ
1;29.11.2023;24,1280;Дирхам ОАЭ
1;28.11.2023;24,1537;Дирхам ОАЭ
1;25.11.2023;24,1833;Дирхам ОАЭ
1;24.11.2023;23,9947;Дирхам ОАЭ
1;23.11.2023;24,0068;Дирхам ОАЭ
1;22.11.2023;23,9265;Дирхам ОАЭ
1;21.11.2023;24,0968;Дирхам ОАЭ
1;18.11.2023;24,2679;Дирхам ОАЭ
1;17.11.2023;24,2196;Дирхам ОАЭ
1;16.11.2023;24,3585;Дирхам ОАЭ
1;15.11.2023;24,8487;Дирхам ОАЭ
1;14.11.2023;25,0833;Дирхам ОАЭ
1;11.11.2023;25,0656;Дирхам ОАЭ
1;10.11.2023;25,0311;Дирхам ОАЭ
1;09.11.2023;25,1048;Дирхам ОАЭ
1;08.11.2023;25,1641;Дирхам ОАЭ
1;04.11.2023;25,3329;Дирхам ОАЭ
1;03.11.2023;25,3670;Дирхам ОАЭ
1;02.11.2023;25,3962;Дирхам ОАЭ
1;01.11.2023;25,0538;Дирхам ОАЭ
1;31.10.2023;25,3869;Дирхам ОАЭ
1;28.10.2023;25,3798;Дирхам ОАЭ
1;27.10.2023;25,4728;Дирхам ОАЭ
1;26.10.2023;25,3609;Дирхам ОАЭ
1;25.10.2023;25,4621;Дирхам ОАЭ
1;24.10.2023;25,7849;Дирхам ОАЭ
1;21.10.2023;26,1109;Дирхам ОАЭ
1;20.10.2023;26,4926;Дирхам ОАЭ
1;19.10.2023;26,5103;Дирхам ОАЭ
1;18.10.2023;26,5031;Дирхам ОАЭ
1;17.10.2023;26,4869;Дирхам ОАЭ
1;14.10.2023;26,4926;Дирхам ОАЭ
1;13.10.2023;26,4075;Дирхам ОАЭ
1;12.10.2023;27,2205;Дирхам ОАЭ
1;11.10.2023;27,2080;Дирхам ОАЭ
1;10.10.2023;27,5959;Дирхам ОАЭ
1;07.10.2023;27,3594;Дирхам ОАЭ
1;06.10.2023;27,1375;Дирхам ОАЭ
1;05.10.2023;27,0775;Дирхам ОАЭ
1;04.10.2023;27,0263;Дирхам ОАЭ
1;03.10.2023;26,8115;Дирхам ОАЭ
1;30.09.2023;26,5218;Дирхам ОАЭ
1;29.09.2023;26,4094;Дирхам ОАЭ
1;28.09.2023;26,2735;Дирхам ОАЭ
1;27.09.2023;26,2014;Дирхам ОАЭ
1;26.09.2023;26,1763;Дирхам ОАЭ
1;23.09.2023;26,1488;Дирхам ОАЭ
1;22.09.2023;26,1581;Дирхам ОАЭ
1;21.09.2023;26,3054;Дирхам ОАЭ
1;20.09.2023;26,1983;Дирхам ОАЭ
1;19.09.2023;26,3136;Дирхам ОАЭ
1;16.09.2023;26,3092;Дирхам ОАЭ
1;15.09.2023;26,1805;Дирхам ОАЭ
1;14.09.2023;26,1311;Дирхам ОАЭ
1;13.09.2023;25,7837;Дирхам ОАЭ
